key	en	fr
coopNoApplicants	No applicants yet.	Aucun candidat pour le moment.
coopSelectClubMember	Select club member	Sélectionner un membre
coopAssign	Assign	Attribuer
coopRemove	Remove	Retirer
coopNoUpcomingFixtures	No upcoming fixtures.	Aucun match à venir.
coopAvailabilityCounts	{available} available · {maybe} maybe · {unavailable} out	{available} dispo · {maybe} peut-être · {unavailable} absent
coopStatusAvailable	available	disponible
coopStatusMaybe	maybe	peut-être
coopStatusUnavailable	unavailable	indisponible
coopNoLineupFixtures	No upcoming fixtures to plan a lineup for.	Aucun match à venir pour planifier une composition.
coopStartingXi	Starting XI	Titulaires
coopBench	Bench	Banc
coopSelectCaptain	Select match captain	Choisir le capitaine
coopLineupNotesPlaceholder	Lineup notes...	Notes de composition...
coopSaveDraft	Save Draft	Enregistrer le brouillon
coopPublish	Publish	Publier
coopRefreshAudit	Refresh Audit	Actualiser l'historique
coopNoAuditHistory	No operations history yet.	Aucun historique d'opérations.
coopSystem	System	Système
coopMemberTip	Mark yourself available here before match day. Only available players can take a Game Day dressing-room seat.	Indique ta disponibilité ici avant le match. Seuls les joueurs disponibles peuvent prendre place au vestiaire le Match Day.
lsgOwned	Owned	Possédé
lsgRenting	Renting	En location
lsgBuyAnother	Buy Another	Acheter un autre
lsgBuy	Buy	Acheter
lsgAdd	Add	Ajouter
lsgNeedStc	Need STC	STC requis
lsgRentMo	Rent/mo	Loyer/mois
lsgActive	Active	Actif
lsgRent	Rent	Louer
lsgMyResidence	My Residence	Ma résidence
lsgOwnedLive	Owned (Live)	Possédé (habité)
lsgInvestment	Investment	Investissement
lsgInvestments	Investments	Investissements
lsgBuyPrice	Buy price	Prix d'achat
lsgNA	N/A	N/D
lsgBuyLive	Buy (Live)	Acheter (habiter)
lsgInvest	Invest	Investir
comJoinOrCreate	Join or Create a Club	Rejoindre ou créer un club
comCreateYourClub	Create Your Club	Crée ton club
comFindClub	Find a Club to Join	Trouver un club à rejoindre
comWelcome	Welcome to STAGE, {name}! Do you want to create your own club or join an existing one?	Bienvenue sur STAGE, {name} ! Tu veux créer ton propre club ou en rejoindre un ?
comCreateClub	Create Club	Créer un club
comCreateClubDesc	Start your own club and become the president	Fonde ton propre club et deviens président
comJoinClub	Join Club	Rejoindre un club
comJoinClubDesc	Browse clubs and send a join request	Parcours les clubs et envoie une demande
comStagePlusTitle	Compete deeper with STAGE Plus	Va plus loin avec STAGE Plus
comStagePlusDesc	Free gives you {credits} starter credits for one tournament. Plus unlocks regional league applications, community tournament creation, ranked play, and {monthlyCredits} monthly refreshed credits.	Gratuit te donne {credits} crédits pour un tournoi. Plus débloque les candidatures aux ligues régionales, la création de tournois communautaires, le mode classé et {monthlyCredits} crédits mensuels.
comSkipForNow	Skip for now	Passer pour l'instant
comBack	← Back	← Retour
comClubName	Club Name *	Nom du club *
comTagMax5	Tag (max 5 chars) *	Tag (max 5 car.) *
comPlatform	Platform	Plateforme
comRegion	Region	Région
comCountry	Country *	Pays *
comSelectCountry	Select country	Choisir un pays
comClubDesc	Club Description	Description du club
comClubDescPlaceholder	Tell players about your club...	Décris ton club aux joueurs...
comCreating	Creating...	Création...
comSearchPlaceholder	Search by club name or tag...	Rechercher par nom ou tag...
comNoClubsFound	No clubs found.	Aucun club trouvé.
comRating	Rating {rating}	Note {rating}
comRequest	Request	Demander
comSent	Sent	Envoyé
comDone	Done — {count} request{plural} sent	Terminé — {count} demande{plural} envoyée{plural}
comJoinMessage	I'd like to join your club!	J'aimerais rejoindre ton club !
otWelcomeTitle	Welcome to STAGE	Bienvenue sur STAGE
otWelcomeSubtitle	Your football career starts here	Ta carrière foot commence ici
otWelcomeDesc	STAGE is a competitive football management platform where you play, manage, and grow. Here's a quick overview of how everything works.	STAGE est une plateforme de gestion football compétitive où tu joues, gères et progresses. Voici un aperçu rapide de son fonctionnement.
otClubTitle	Your Club	Ton club
otClubSubtitle	Budget • Squad • Trophies	Budget • Effectif • Trophées
otClubDesc	Your club starts with 50,000 STC (Stage Currency). Use it to sign players, pay salaries, and build your squad. Manage your transfer budget and wage budget wisely.	Ton club démarre avec 50 000 STC (Stage Currency). Utilise-les pour signer des joueurs, payer les salaires et construire ton effectif. Gère tes budgets transferts et salaires.
otClubHighlight	50,000 STC starting budget	50 000 STC de budget initial
otCurrencyTitle	Two Currencies	Deux monnaies
otCurrencySubtitle	Credits vs STC	Crédits vs STC
otCurrencyDesc	STAGE has two separate currencies. Credits are used for platform features like tournaments and subscriptions. STC (Stage Currency) is the in-game economy — used for salaries, transfers, and lifestyle.	STAGE a deux monnaies distinctes. Les crédits servent aux fonctionnalités de la plateforme comme les tournois et abonnements. Les STC sont l'économie du jeu — salaires, transferts et lifestyle.
otCreditsLabel	Credits	Crédits
otCreditsDesc	Platform features, tournaments, subscriptions	Fonctionnalités plateforme, tournois, abonnements
otStcLabel	STC	STC
otStcDesc	Salaries, transfers, lifestyle, club economy	Salaires, transferts, lifestyle, économie club
otContractsTitle	Contracts & Transfers	Contrats & Transferts
otContractsSubtitle	Sign players. Negotiate terms.	Signe des joueurs. Négocie.
otContractsDesc	Offer contracts to players with weekly salaries, signing bonuses, and performance targets. Players can accept, reject, or counter-offer. Transfers execute when the transfer window opens.	Propose des contrats avec salaires hebdo, primes à la signature et objectifs. Les joueurs peuvent accepter, refuser ou contre-proposer. Les transferts s'exécutent à l'ouverture du mercato.
otContractsHighlight	Salaries paid monthly in real time	Salaires versés mensuellement en temps réel
otMarketTitle	Player Market Value	Valeur marchande
otMarketSubtitle	Your rating drives your worth	Ta note détermine ta valeur
otMarketDesc	Every player has a market value based on their overall rating, goals, assists, and match performance. Higher value means better contract negotiations and more leverage in the transfer market.	Chaque joueur a une valeur marchande basée sur sa note, ses buts, passes et performances. Plus de valeur = meilleures négociations et plus de poids sur le marché des transferts.
otMarketHighlight	Better stats = higher value	Meilleures stats = plus de valeur
otLifestyleTitle	Lifestyle	Lifestyle
otLifestyleSubtitle	Spend your STC. Build your empire.	Dépense tes STC. Bâtis ton empire.
otLifestyleDesc	Earn STC through salaries and performance. Spend it on real estate, vehicles, clothing, and events. Some assets generate passive STC income over time.	Gagne des STC via tes salaires et performances. Dépense-les en immobilier, véhicules, vêtements et événements. Certains actifs génèrent des revenus passifs.
otLifestyleHighlight	Some properties earn passive income	Certaines propriétés génèrent des revenus passifs
otGetStarted	Get Started	Commencer
otNext	Next	Suivant
otSkipTour	Skip tour	Passer le tour
pcardNoLocation	No location set	Aucune localisation définie
pcardMyResidence	My Residence	Ma résidence
pcardRenting	Renting	En location
pcardOwnedLive	Owned (Live)	Possédé (habité)
pcardInvestment	Investment	Investissement
pcardDefault	Default	Défaut
pcardBasePrice	Base Price	Prix de base
pcardCurrentValue	Current Value	Valeur actuelle
pcardWeeklyCost	Weekly Cost	Coût hebdo
pcardAcquired	Acquired	Acquis
pcardUpgradeLevel	Upgrade Level	Niveau d'amélioration
pcardMax	MAX	MAX
pcardSetResidence	Set as My Residence	Définir comme résidence
pcardThisIsResidence	This is your residence	C'est ta résidence
pcardMoveOut	Move Out	Déménager
pcardDaysLeft	{days}d left	{days}j restants
pcardExpires	expires {date}	expire le {date}
pcardCancel	Cancel	Annuler
pcardCostBreakdown	Cost Breakdown	Détail des coûts
pcardTotalWeekly	Total Weekly	Total hebdo
pcardPerWk	/wk	/sem.
pcardUpgradeProperty	Upgrade Property	Améliorer la propriété
pcardBuy	Buy	Acheter
pcardFullyUpgraded	Fully Upgraded	Entièrement amélioré
pcardDefaultedError	Asset defaulted — pay overdue maintenance first	Actif en défaut — règle l'entretien en retard d'abord
pcardUpgradeApplied	Upgrade applied — Level {level}	Amélioration appliquée — Niveau {level}
pcardRentalCancelled	Rental cancelled.	Location annulée.
pcardCancelFailed	Failed to cancel rental	Échec de l'annulation
pcardMovedOut	You have moved out.	Tu as déménagé.
pcardMoveOutFailed	Failed to move out	Échec du déménagement
pcardResidenceUpdated	Residence updated!	Résidence mise à jour !
pcardResidenceFailed	Failed to set residence	Impossible de définir la résidence
matNoAssets	No assets owned yet.	Aucun actif possédé.
matStartBuilding	Head to the Store and start building your empire!	Rends-toi à la boutique et commence à bâtir ton empire !
matNoResidence	No active residence	Aucune résidence active
matSetResidenceHint	Set a property as your residence from the store or below.	Définis une propriété comme résidence depuis la boutique ou ci-dessous.
matActiveResidence	Active Residence	Résidence active
matRenting	Renting	En location
matOwned	Owned	Possédé
matAssets	Assets	Actifs
matTotalValue	Total Value	Valeur totale
matWeeklyCost	Weekly Cost	Coût hebdo
matDefaultCount	{count} asset{plural} in default	{count} actif{plural} en défaut
matDefaultHint	You missed maintenance payments. Top up your STC and the next automated run will restore them.	Tu as manqué des paiements d'entretien. Recharge tes STC et le prochain cycle les restaurera.
matProperties	Properties	Propriétés
matGarage	Garage	Garage
matCollection	Collection	Collection
matNoCategoryAssets	No assets in this category yet.	Aucun actif dans cette catégorie.
matUnknownLocation	Unknown Location	Lieu inconnu
matPropertyCount	{count} propert{plural}	{count} propriété{plural}
acardDefaulted	Asset Defaulted — Missed Maintenance	Actif en défaut — Entretien manqué
acardDefaultedHint	Upgrades are blocked. Top up STC — next cycle will restore this asset.	Améliorations bloquées. Recharge tes STC — le prochain cycle restaurera cet actif.
acardValue	Value	Valeur
acardLevel	Level {current}/{max}	Niveau {current}/{max}
acardRental	Rental	Location
acardDaysLeft	{days}d left (expires {date})	{days}j restants (expire le {date})
acardCostBreakdown	Cost Breakdown	Détail des coûts
acardTotalWeekly	Total Weekly	Total hebdo
acardPerWk	/wk	/sem.
acardFullyUpgraded	Fully Upgraded	Entièrement amélioré
acardUpgradesBlocked	Upgrades Blocked	Améliorations bloquées
acardUpgradeAsset	Upgrade Asset	Améliorer l'actif
acardRentalCancelled	Rental cancelled.	Location annulée.
acardCancelFailed	Failed to cancel rental	Échec de l'annulation
acardDefaultedError	Asset is defaulted — pay overdue maintenance first	Actif en défaut — règle l'entretien en retard d'abord
acardUpgradeApplied	Upgrade applied — now Level {level}	Amélioration appliquée — Niveau {level}
acardUpgradeFailed	Upgrade failed	Échec de l'amélioration
prdTitle	PRE-MATCH PRESS ROOM	CONFÉRENCE DE PRESSE D'AVANT-MATCH
prdChoosePlayer	Choose who will face the press today	Choisis qui affrontera la presse aujourd'hui
prdNoPlayers	No players found in your squad.	Aucun joueur trouvé dans ton effectif.
prdInviteSent	Invitation Sent	Invitation envoyée
prdInvitedPlayer	{name} has been invited to the press room.	{name} a été invité à la conférence de presse.
prdInviteHint	They'll receive a notification and message to answer the questions.	Il recevra une notification et un message pour répondre aux questions.
prdCloseHint	You can close this — the player handles the rest.	Tu peux fermer — le joueur gère la suite.
prdAtPodium	at the podium	au podium
prdAnswered	{count}/{max} answered	{count}/{max} répondu
prdPublishLeave	Publish & Leave	Publier & Quitter
prdNoAnswers	No answers yet	Aucune réponse
prdWriteAnswer	Write your own answer…	Écris ta propre réponse…
prdSubmitAnswer	Submit my answer	Envoyer ma réponse
prdArticlePhoto	Article Photo	Photo de l'article
prdUploadHint	Upload a photo, then drag to position it perfectly.	Importe une photo, puis fais-la glisser pour la positionner.
prdPhotoPlaceholder	Photo will appear here	La photo apparaîtra ici
prdPressConference	Press Conference	Conférence de presse
prdDragHint	Drag to reposition	Glisse pour repositionner
prdZoom	Zoom — {zoom}%	Zoom — {zoom}%
prdSkipPhoto	Skip Photo	Passer la photo
prdPublishArticle	Publish Article	Publier l'article
prdArticlePublished	Article Published!	Article publié !
prdNewsHint	Head to the News section to read it.	Rends-toi dans la section News pour le lire.
prdUploading	Uploading...	Import en cours...
prdChangePhoto	Change Photo	Changer la photo
prdUploadPhoto	Upload Photo	Importer une photo
prdClose	Close	Fermer
twprChampionConference	Champion's Press Conference	Conférence de presse du champion
twprChampion	Champion	Champion
twprAnswered	{count}/{max} answered	{count}/{max} répondu
twprPublish	Publish →	Publier →
twprAnswerFirst	Answer first	Réponds d'abord
twprChampionPhoto	Champion's Photo	Photo du champion
twprUploadHint	Upload a celebration photo, then drag to position it.	Importe une photo de célébration, puis fais-la glisser pour la positionner.
twprPhotoPlaceholder	Photo will appear here	La photo apparaîtra ici
twprDragHint	Drag to reposition	Glisse pour repositionner
twprZoom	Zoom — {zoom}%	Zoom — {zoom}%
twprUploadCelebration	Upload Celebration Photo	Importer une photo de célébration
twprSkipPhoto	Skip Photo	Passer la photo
twprPublishArticle	🏆 Publish Article	🏆 Publier l'article
twprPublished	Article Published! 🏆	Article publié ! 🏆
twprPublishedHint	The champion's article is live in the News section and your club's Feed.	L'article du champion est en ligne dans News et le Feed de ton club.
twprVisibleHint	Visible to all tournament participants and club followers.	Visible par tous les participants du tournoi et les abonnés du club.
gdprComplete	Press Room Complete	Conférence de presse terminée
gdprCompleteHint	{name} was interviewed for this match. This can only be done once per match.	{name} a été interviewé pour ce match. Cela ne peut être fait qu'une fois par match.
gdprArticlePublished	Article Published!	Article publié !
gdprArticleHint	The press conference article is now live in the News section.	L'article de la conférence est maintenant en ligne dans News.
gdprSelectPlayer	Select a player to interview. Can only be done once per match.	Sélectionne un joueur à interviewer. Une seule fois par match.
gdprQuestion	Q{n}/{total}	Q{n}/{total}
gdprContinueImage	Continue to Image	Passer à l'image
gdprAnswerMore	Answer {n} more to finish	Réponds à {n} de plus pour finir
gdprNext	Next	Suivant
gdprAnsweredCount	Answered: {count}/4 (min 3)	Répondu : {count}/4 (min 3)
gdprAddPhoto	Add Article Photo	Ajouter une photo
gdprOptional	Optional	Optionnel
gdprClickUpload	Click to upload photo	Clique pour importer une photo
gdprFileHint	JPG, PNG, WEBP · max 10MB	JPG, PNG, WEBP · max 10 Mo
gdprSkipPublish	Skip & Publish	Passer & Publier
gdprPublishArticle	Publish Article	Publier l'article
gdprPublishHint	Article will appear in News → Press Room once published.	L'article apparaîtra dans News → Press Room une fois publié.
stadCurrentStadium	Current Stadium	Stade actuel
stadLevelOf3	Level (of 3)	Niveau (sur 3)
stadCapacity	Capacity	Capacité
stadTicketPrice	Ticket Price per Fan	Prix du billet par fan
stadTicketRevenue	Ticket Revenue per Home Match	Revenus billetterie par match à domicile
stadRevenueFormula	Revenue Formula:	Formule de revenus :
stadCapacityFormula	{capacity} capacity × {price} STC/ticket	{capacity} places × {price} STC/billet
stadPerHomeMatch	Per Home Match	Par match à domicile
stadNextUpgrade	Next Upgrade	Prochaine amélioration
stadCapacityLabel	Capacity:	Capacité :
stadRevenueMatch	Revenue/Match:	Revenus/Match :
stadUpgradeCost	Upgrade Cost	Coût d'amélioration
stadClubBalance	Club Balance	Solde du club
stadUpgradeTo	Upgrade to {name} — {cost}	Améliorer vers {name} — {cost}
stadNeedMore	Need {amount} more STC	Besoin de {amount} STC supplémentaires
stadUpgradePath	Upgrade Path	Parcours d'amélioration
stadLvN	Lv {n}	Nv {n}
stadLv1Default	Lv 1 — Default	Nv 1 — Par défaut
stadUnlocked	✓ Unlocked	✓ Débloqué
stadMaxLevel	Max Level — Iconic Arena	Niveau max — Arène emblématique
stadMaxHint	Your stadium is the pinnacle of football infrastructure.	Ton stade est au sommet de l'infrastructure footballistique.
stadUpgradeSuccess	Stadium upgraded to {name}!	Stade amélioré vers {name} !
stadUpgradeFailed	Upgrade failed	Échec de l'amélioration
wagTitle	STC Wager	Pari STC
wagAwaiting	Awaiting Acceptance	En attente d'acceptation
wagLocked	Funds Locked 🔒	Fonds verrouillés 🔒
wagSettling	Settling…	Règlement…
wagSettled	Settled ✅	Réglé ✅
wagRefunded	Draw — Refunded	Nul — Remboursé
wagDeclined	Declined	Refusé
wagCancelled	Cancelled	Annulé
wagEachSide	Each Side	Chaque côté
wagTotalPot	Total Pot	Pot total
wagHomeLocked	Home locked	Domicile verrouillé
wagHomeNotLocked	Home not locked	Domicile non verrouillé
wagAwayLocked	Away locked	Extérieur verrouillé
wagAwayNotLocked	Away not locked	Extérieur non verrouillé
wagYouWon	You won! +{pot} STC added to your balance	Tu as gagné ! +{pot} STC ajoutés à ton solde
wagYouLost	You lost — {stake} STC forfeited	Tu as perdu — {stake} STC perdus
wagWinnerWon	{winner} won — {pot} STC pot	{winner} a gagné — {pot} STC de pot
wagDrawRefund	Draw — both sides refunded {stake} STC	Nul — les deux côtés remboursés de {stake} STC
wagCancelledHint	Wager cancelled — funds refunded	Pari annulé — fonds remboursés
wagDeclinedHint	Wager declined — no funds deducted	Pari refusé — aucun fonds déduit
wagAccept	Accept ({stake} STC)	Accepter ({stake} STC)
wagDecline	Decline	Refuser
wagCancelWager	Cancel wager (refund both sides)	Annuler le pari (rembourser les deux)
wagCancelling	Cancelling…	Annulation…
wagAccepted	Wager accepted — funds locked. 🔒	Pari accepté — fonds verrouillés. 🔒
wagDeclinedMsg	Wager declined. No funds deducted.	Pari refusé. Aucun fonds déduit.
wagCancelledMsg	Wager cancelled. Funds refunded.	Pari annulé. Fonds remboursés.
pcmTitle	Complete Your Profile 🎮	Complète ton profil 🎮
pcmGamertag	Gamertag *	Gamertag *
pcmGamertagPlaceholder	Your gaming name	Ton pseudo de jeu
pcmMainPosition	Main Position *	Poste principal *
pcmSecondPosition	Second Position	Poste secondaire
pcmPlatform	Platform *	Plateforme *
pcmSelect	Select	Sélectionner
pcmNone	None	Aucun
pcmCountry	Country	Pays
pcmSelectCountry	Select country	Sélectionner un pays
pcmBio	Bio	Bio
pcmBioPlaceholder	Tell us about yourself...	Parle-nous de toi...
pcmPlusAvailable	STAGE Plus is available	STAGE Plus est disponible
pcmPlusDesc	Your free account starts with {credits} credits. Plus unlocks official competitions, tournament creation, ranked play, and refreshes {monthlyCredits} credits monthly.	Ton compte gratuit démarre avec {credits} crédits. Plus débloque les compétitions officielles, la création de tournois, le mode classé et rafraîchit {monthlyCredits} crédits mensuellement.
pcmSaving	Saving...	Enregistrement...
pcmComplete	Complete Profile →	Compléter le profil →
pcmRequired	Please fill in required fields: Gamertag, Position, and Platform	Remplis les champs obligatoires : Gamertag, Poste et Plateforme
agdTitle	Arrange Game	Organiser un match
agdPlayerMatch	Player Match	Match joueur
agdClubMatch	Club Match	Match de club
agdPlayerMatchHint	you play as {gamertag}. The invite goes to the opponent player's personal inbox.	tu joues en tant que {gamertag}. L'invitation va dans la boîte personnelle du joueur adverse.
agdClubMatchHint	{clubName} challenges another club. The invite goes to the opponent club's owner inbox.	{clubName} défie un autre club. L'invitation va dans la boîte du propriétaire du club adverse.
agdSearchClubs	Search clubs...	Rechercher des clubs...
agdSearchPlayers	Search players...	Rechercher des joueurs...
agdBack	Back	Retour
agdDate	Date	Date
agdTime	Time	Heure
agdStcWager	STC Wager	Mise STC
agdOptional	optional	optionnel
agdMinBet	Minimum bet is {amount} STC	Mise minimum : {amount} STC
agdMaxBet	Maximum bet is {amount} STC	Mise maximum : {amount} STC
agdInsufficientStc	You only have {amount} STC available	Tu n'as que {amount} STC disponibles
agdWagerPotHint	Pot: {pot} STC total. Your {stake} STC stake will lock on acceptance.	Cagnotte : {pot} STC au total. Ta mise de {stake} STC sera bloquée à l'acceptation.
agdContinue	Continue	Continuer
agdMatchType	Match type	Type de match
agdOpponent	Opponent	Adversaire
agdWagerSummary	{stake} STC each · Pot: {pot} STC	{stake} STC chacun · Cagnotte : {pot} STC
agdPlayerInviteNote	A player match invitation will be sent to {gamertag}'s personal inbox.	Une invitation de match joueur sera envoyée dans la boîte personnelle de {gamertag}.
agdClubInviteNote	A club match invitation will be sent to the owner of {clubName}'s inbox.	Une invitation de match club sera envoyée au propriétaire de {clubName}.
agdCanRespondNote	They can accept, decline, or request a different date.	Il peut accepter, refuser ou demander une autre date.
agdWagerLockNote	The wager stake will appear in finances as locked STC when accepted.	La mise apparaîtra dans les finances comme STC bloqués une fois acceptée.
agdSendInvitation	Send Invitation	Envoyer l'invitation
agdInvitationSent	Invitation Sent!	Invitation envoyée !
agdWaitingResponse	Waiting for the opponent to respond.	En attente de la réponse de l'adversaire.
agdChooseOpponent	Please choose an opponent again.	Veuillez choisir à nouveau un adversaire.
agdCannotReachClub	Could not reach this club's owner. They may not have a login email yet.	Impossible de joindre le propriétaire de ce club. Il n'a peut-être pas encore d'email de connexion.
agdCannotReachPlayer	Could not reach this player. They may not have an account yet.	Impossible de joindre ce joueur. Il n'a peut-être pas encore de compte.
agdSendFailed	Failed to send invitation. Please try again.	Échec de l'envoi de l'invitation. Réessaie.
fspMatchScheduling	Match Scheduling	Planification du match
fspAwaitingSchedule	Awaiting Schedule	En attente de planification
fspTimeProposed	Time Proposed	Heure proposée
fspCounterProposal	Counter-Proposal	Contre-proposition
fspConfirmed	Confirmed	Confirmé
fspWindowExpired	Window Expired	Délai expiré
fspAdminReview	Admin Review	Examen admin
fspDeadlinePassed	Deadline passed — awaiting admin review	Délai dépassé — en attente d'examen admin
fspDeadlineIn	Deadline in {hours}h	Deadline dans {hours}h
fspDeadline	Deadline: {date}	Deadline : {date}
fspExpiredNote	Both teams failed to agree before the deadline. This fixture has been flagged for admin review.	Les deux équipes n'ont pas réussi à se mettre d'accord avant la deadline. Ce match a été signalé pour examen admin.
fspAdminReviewNote	An admin is reviewing this scheduling dispute.	Un admin examine ce litige de planification.
fspOpponentProposes	Opponent proposes:	L'adversaire propose :
fspConfirming	Confirming…	Confirmation…
fspProposeDifferent	Propose Different Time	Proposer une autre heure
fspYourProposal	Your proposal	Ta proposition
fspWaitingResponse	waiting for response	en attente de réponse
fspProposeTime	Propose a Time	Proposer une heure
fspWaitingHome	Waiting for the home team to propose a time…	En attente de la proposition de l'équipe à domicile…
fspNotScheduled	Not yet scheduled	Pas encore planifié
fspProposalsExchanged	{count} proposal(s) exchanged	{count} proposition(s) échangée(s)
fspMustBeBefore	must be before {date}	doit être avant le {date}
fspSending	Sending…	Envoi…
fspSendProposal	Send Proposal	Envoyer la proposition
fspProposalFailed	Failed to send proposal. Please try again.	Échec de l'envoi de la proposition. Réessaie.
fspConfirmFailed	Failed to confirm match. Please try again.	Échec de la confirmation du match. Réessaie.
scalEventsCount	{count} events	{count} événements
scalMatch	Match	Match
scalContractEnd	Contract End	Fin de contrat
scalTournament	Tournament	Tournoi
scalToday	Today	Aujourd'hui
scalClickDate	Click a date to see events	Clique sur une date pour voir les événements
scalNoEvents	No events on this day	Aucun événement ce jour
scalBackTo	Back to {date}	Retour au {date}
scalBack	Back	Retour
scalMore	+{count} more	+{count} autres
scalStarts	Starts	Commence
scalPlayerContractEnds	{name} contract ends	Fin du contrat de {name}
scalGames	games	matchs
scalEnd	End	Fin
scalTournamentStart	Tournament Start	Début du tournoi
scalInDays	In {days} day(s)	Dans {days} jour(s)
scalTodayExcl	Today!	Aujourd'hui !
scalTBD	TBD	À définir
scalHome	Home	Domicile
scalAway	Away	Extérieur
scalScheduled	Scheduled	Planifié
scalPending	Pending	En attente
scalFT	FT	Terminé
scalForfeit	Forfeit	Forfait
scalLive	Live	Live
scalDisputed	Disputed	Contesté
ocdCounterOffer	Counter Offer	Contre-offre
ocdTo	to {name}	à {name}
ocdActiveContract	This player already has an active {type} contract ({status}).	Ce joueur a déjà un contrat {type} actif ({status}).
ocdStillOfferPlayer	You can still offer a player contract alongside it.	Tu peux quand même offrir un contrat joueur en parallèle.
ocdStillOfferOwnership	You can still offer an ownership contract alongside it.	Tu peux quand même offrir un contrat de propriété en parallèle.
ocdSecondContract	This will create a second contract of the same type.	Cela créera un second contrat du même type.
ocdWindowClosed	Transfer window is closed. Offer queued — transfer executes when window opens.	Le mercato est fermé. L'offre est mise en file — le transfert s'exécute à l'ouverture du mercato.
ocdWindowOpen	Transfer window OPEN. Accepted offers take effect immediately.	Mercato OUVERT. Les offres acceptées prennent effet immédiatement.
ocdWindowChecking	Checking transfer window status...	Vérification du statut du mercato...
ocdContractType	Contract Type	Type de contrat
ocdFinancialTerms	Financial Terms (STC)	Conditions financières (STC)
ocdPerformanceTargets	Performance Targets	Objectifs de performance
ocdMessage	Message	Message
ocdCounterPlaceholder	Explain your counter-offer...	Explique ta contre-offre...
ocdSending	Sending...	Envoi...
ocdSendCounter	Send Counter-Offer	Envoyer la contre-offre
ocdSendOffer	Send Contract Offer	Envoyer l'offre de contrat
icoContractUnavailable	Contract data unavailable or already resolved.	Données du contrat indisponibles ou déjà résolues.
icoAwaitingResponse	Awaiting your response	En attente de ta réponse
icoNegotiatingRound	Negotiating — Round {round}	Négociation — Tour {round}
icoContractActive	✅ Contract Active	✅ Contrat actif
icoDeclined	❌ Declined	❌ Refusé
icoAcceptedPendingWindow	✅ Accepted — awaiting transfer window	✅ Accepté — en attente du mercato
icoClubOwnership	🏢 Club Ownership	🏢 Propriété du club
icoContract	Contract	Contrat
icoRound	Round {round}	Tour {round}
icoDuration	Duration	Durée
icoDurationValue	{games} games / {days} days	{games} matchs / {days} jours
icoTransferFee	Transfer Fee	Indemnité de transfert
icoOffered	⭐ Offered	⭐ Proposé
icoTargets	Targets	Objectifs
icoTargetCount	{count} target(s)	{count} objectif(s)
icoWindowOpenImmediate	Transfer window OPEN — accepting will activate this contract immediately.	Mercato OUVERT — accepter activera ce contrat immédiatement.
icoWindowClosedQueue	Transfer window is currently CLOSED. Accepting will queue the transfer — it executes when the window opens.	Le mercato est actuellement FERMÉ. Accepter mettra le transfert en file — il s'exécute à l'ouverture du mercato.
icoWindowChecking	Checking transfer window status...	Vérification du statut du mercato...
icoAcceptQueue	Accept & Queue Transfer	Accepter et mettre en file
icoAcceptContract	Accept Contract	Accepter le contrat
icoCounterOffer	Counter-Offer	Contre-offre
icoWaitingOther	Waiting for the other party to respond.	En attente de la réponse de l'autre partie.
icoWeeklySalaryStc	Weekly Salary (STC)	Salaire hebdo (STC)
icoSigningBonusStc	Signing Bonus (STC)	Prime à la signature (STC)
icoTransferFeeStc	Transfer Fee (STC)	Indemnité de transfert (STC)
icoCounterPlaceholder	Explain your counter-offer... (optional)	Explique ta contre-offre... (optionnel)
icoSendCounter	Send Counter-Offer	Envoyer la contre-offre
tpdTitle	Pay Transfer Fee	Payer l'indemnité de transfert
tpdEnterValidAmount	Enter a valid transfer fee amount.	Saisis un montant valide pour l'indemnité de transfert.
tpdInsufficientFunds	Insufficient funds. Club balance: {balance}	Fonds insuffisants. Solde du club : {balance}
tpdPaymentFailed	Payment failed. Please try again.	Paiement échoué. Réessaie.
tpdFeePaid	Transfer fee paid!	Indemnité de transfert payée !
tpdFeePaidDetail	{amount} sent to {clubName} for {gamertag}.	{amount} envoyés à {clubName} pour {gamertag}.
tpdTheClub	the club	le club
tpdDone	Done	Terminé
tpdFrom	From	De
tpdTo	To	À
tpdBalance	Balance	Solde
tpdNoClub	No club	Aucun club
tpdFor	For {name}	Pour {name}
tpdAmountLabel	Transfer Fee Amount (STC)	Montant de l'indemnité (STC)
tpdExceedsBalance	⛔ Exceeds club balance — need {needed} more STC	⛔ Dépasse le solde du club — il manque {needed} STC
tpdExceedsBudget	⚠ Exceeds transfer budget ({budget}) — deducted from main balance	⚠ Dépasse le budget transferts ({budget}) — déduit du solde principal
tpdWithinBudget	✓ Within transfer budget ({budget})	✓ Dans le budget transferts ({budget})
tpdPaying	Paying…	Paiement…
tpdPayTransferFee	Pay Transfer Fee	Payer l'indemnité de transfert
